current,R,G,B,rgb unique combination
0.101898, 255,   0, 195,1
0.083195,   0,   0, 195,4
0.101852, 255,   0, 195,1
0.088319, 255,   0,   0,6
0.117852, 255, 225, 195,7
0.088273, 255,   0,   0,6
0.099220,   0, 225, 195,3
0.101968, 255,   0, 195,1
0.117713, 255, 225, 195,7
0.069733,   0,   0,   0,5
0.118039, 255, 225, 195,7
0.085478,   0, 225,   0,0
0.088319, 255,   0,   0,6
0.085524,   0, 225,   0,0
0.083149,   0,   0, 195,4
0.085571,   0, 225,   0,0
0.101921, 255,   0, 195,1
0.117876, 255, 225, 195,7
0.088203, 255,   0,   0,6
0.104111, 255, 225,   0,2
0.117806, 255, 225, 195,7
0.085361,   0, 225,   0,0
0.088226, 255,   0,   0,6
0.104018, 255, 225,   0,2
0.117689, 255, 225, 195,7
0.083289,   0,   0, 195,4
0.102015, 255,   0, 195,1
0.103994, 255, 225,   0,2
0.083056,   0,   0, 195,4
0.088343, 255,   0,   0,6
0.117969, 255, 225, 195,7
0.104018, 255, 225,   0,2
0.088273, 255,   0,   0,6
0.104064, 255, 225,   0,2
0.083242,   0,   0, 195,4
0.104204, 255, 225,   0,2
0.101758, 255,   0, 195,1
0.117666, 255, 225, 195,7
0.103808, 255, 225,   0,2
0.083056,   0,   0, 195,4
0.069687,   0,   0,   0,5
0.104250, 255, 225,   0,2
0.085455,   0, 225,   0,0
0.104111, 255, 225,   0,2
0.099220,   0, 225, 195,3
0.104041, 255, 225,   0,2
0.117736, 255, 225, 195,7
0.101782, 255,   0, 195,1
0.069640,   0,   0,   0,5
0.099336,   0, 225, 195,3
0.085478,   0, 225,   0,0
0.099266,   0, 225, 195,3
0.069687,   0,   0,   0,5
0.118085, 255, 225, 195,7
0.103948, 255, 225,   0,2
0.083289,   0,   0, 195,4
0.099290,   0, 225, 195,3
0.104064, 255, 225,   0,2
0.101642, 255,   0, 195,1
0.069640,   0,   0,   0,5
0.118179, 255, 225, 195,7
0.069687,   0,   0,   0,5
0.088413, 255,   0,   0,6
0.085478,   0, 225,   0,0
0.083195,   0,   0, 195,4
0.104157, 255, 225,   0,2
0.099126,   0, 225, 195,3
0.069687,   0,   0,   0,5
0.088459, 255,   0,   0,6
0.069687,   0,   0,   0,5
0.085618,   0, 225,   0,0
0.083242,   0,   0, 195,4
0.102201, 255,   0, 195,1
0.099359,   0, 225, 195,3
0.101921, 255,   0, 195,1
0.083102,   0,   0, 195,4
0.088319, 255,   0,   0,6
0.104111, 255, 225,   0,2
0.083056,   0,   0, 195,4
0.069593,   0,   0,   0,5
0.102015, 255,   0, 195,1
0.099220,   0, 225, 195,3
0.088319, 255,   0,   0,6
0.083195,   0,   0, 195,4
0.104227, 255, 225,   0,2
0.069687,   0,   0,   0,5
0.118109, 255, 225, 195,7
0.069687,   0,   0,   0,5
0.088413, 255,   0,   0,6
0.117992, 255, 225, 195,7
0.099126,   0, 225, 195,3
0.104018, 255, 225,   0,2
0.117620, 255, 225, 195,7
0.088226, 255,   0,   0,6
0.069640,   0,   0,   0,5
0.104204, 255, 225,   0,2
